contest,caption,mean,precision,votes,not_funny,somewhat_funny,funny,has_question_mark,ends_with_punctuation,caption_length
728,"Okay, okay. Fine, I'll fill out the census.",2.0798018712162905,0.0126085838791495,3634,916,1512,1206,False,True,43
728,Six feet dude. Six. Feet.,2.0075417489674985,0.0102812345831088,5569,1618,2291,1660,False,True,25
728,Thank you for agreeing to meet remotely.,1.974228119418219,0.0088919557396424,7838,2532,2976,2330,False,True,40
728,Welcome to paradise. I take it he won another term.,1.959068941710228,0.0082699784517774,10139,3731,3092,3316,False,True,51
728,"Wow, you student loan people really know how to track someone down.",1.9389617798060468,0.0076695813461519,10518,3594,3972,2952,False,True,67
728,"Relax, take off your shoe.",1.937081850533808,0.0094881853074667,7025,2456,2555,2014,False,True,26
728,"Ah great, now we’re going to have to wear masks",1.9331844029244516,0.0080933899134845,9848,3532,3446,2870,False,False,47
728,"Hate to break it to you, dude, but I'm already Mormon.",1.9291582204203563,0.0087209545213877,9373,3699,2641,3033,False,True,54
728,All my coworkers think this is just a virtual Zoom background,1.9049056603773584,0.00902225826677,7950,2986,2734,2230,False,False,61
728,On the bright side there's only one active covid-19 case on the island.,1.89725697786333,0.0090470789738945,8312,3298,2570,2444,False,True,71
728,"Finally, tech support.",1.895274164333937,0.0101585638251365,6073,2254,2201,1618,False,True,22
728,"So for the first two weeks, you need to quarantine west of the palm tree, after that feel free to go wherever.",1.870209431542955,0.0093482476408219,7019,2672,2589,1758,False,True,110
728,"Man, how long were you gone?  This IS Manhattan!",1.863430962343096,0.0106394504950581,5975,2484,1823,1668,True,True,48
728,And the best part is ... no Fox News!,1.8439782730848473,0.0112625554464504,5339,2289,1594,1456,False,True,37
728,It’s really not so bad except at high tide.,1.8416438356164384,0.0126118213223442,3650,1394,1440,816,False,True,43
728,"Take the tie off, man.  It’s casual Friday.",1.8207492795389049,0.0129043697541218,3470,1369,1354,747,False,True,43
728,You better hope another chair washes up,1.81813110181311,0.012530538627095,3585,1394,1449,742,False,False,39
728,I've been here since 2019.  Have I missed anything?,1.816300129366106,0.0126757505392242,3865,1620,1335,910,True,True,51
728,I'm disappointed that you're disappointed. Next time be more specific when you make a wish to end up on a deserted island with a blonde.,1.8109675281643471,0.010260941397273,6036,2596,1985,1455,False,True,136
728,Welcome to the last resort.,1.8058127018299248,0.0116760772442363,4645,2011,1526,1108,False,True,27
728,"Actuallly, I’m pretty happy with the coverage I already have.",1.7957040572792362,0.0097437606265864,6285,2648,2273,1364,False,True,61
728,I was expecting you. Your left shoe washed up this morning.,1.7883369330453565,0.011291498406359,4630,1960,1690,980,False,True,59
728,I presume you're from the IRS.,1.784587578047979,0.0102021821452797,6086,2724,1949,1413,False,True,30
728,I thought it'd be a good place to sit out 2016. Is everything back to normal yet?,1.774949083503055,0.024648220149945,982,428,347,207,True,True,81
728,"Let me guess, you worked for him, too.",1.7732412060301508,0.0198413612340705,1592,720,513,359,False,True,38
728,"Well, I'll let you get settled, then I'll show you around.",1.772967032967033,0.011109311821857,4550,1911,1761,878,False,True,58
728,"For me, the coconut’s half full.",1.7338065661047029,0.0155268559718492,2254,992,870,392,False,True,32
728,I was SO YOU in April.,1.7334705428350914,0.0122586416154671,3887,1791,1341,755,False,True,22
728,You mean they need ME to cast the deciding vote?!,1.7208043310131478,0.021021299005953,1293,600,454,239,True,True,49
728,You must be the offshore accountant.,1.7138563270213405,0.0136494061085486,3327,1643,993,691,False,True,36
728,"What did I say, Larry? “Don’t take United.” And what did you do?",1.713458110516934,0.0162966978075451,2244,1082,723,439,True,True,64
728,"Since November 9, 2016.",1.7065351418002466,0.0123634494357672,4055,2026,1193,836,False,True,23
728,This is the last straw.,1.7051470588235291,0.0212521398688364,1360,677,407,276,False,True,23
728,"You've got your tie, I've got mai tai.",1.7045678606638186,0.0143921778582232,3043,1541,860,642,False,True,38
728,I get it. Trump won. Welcome.,1.6937416777629828,0.0128173633111904,3755,1911,1084,760,False,True,29
728,You really thought my Zoom background was fake?,1.6826783114992725,0.0196665412320738,1374,652,506,216,True,True,47
728,"Word to the wise: If you treat it as a staycation, the time goes by faster.",1.680619404790709,0.0114895845515999,4133,2001,1453,679,False,True,75
728,I've been out of touch. Is America still great?,1.6804063860667635,0.01306471660691,3445,1741,1065,639,True,True,47
728,"Well, up till now, my social distancing plan was working pretty well.""",1.6776623376623376,0.0119014457807889,3850,1873,1347,630,False,False,70
728,Is 2020 over yet?,1.6695402298850577,0.015335426114376,2436,1233,775,428,True,True,17
728,Quarantini?,1.666809055958992,0.0159414678244711,2341,1216,689,436,True,True,11
728,Is that my mail-in ballot?,1.6661258922777418,0.0135423032096198,3082,1560,993,529,True,True,26
728,I'm not stranded; I just asked them to pick me up once the election is over.,1.6639544344995931,0.0211673597670787,1229,614,414,201,False,True,76
728,"It takes awhile, but you’ll get used to working remotely.",1.6636513157894737,0.0203432177957824,1216,579,467,170,False,True,57
728,Ok. Tell her she can have the house.,1.658971243418388,0.0149222187749676,2469,1243,825,401,False,True,36
728,"Actually, this IS low tide.",1.6577369052379047,0.0146777883740283,2501,1248,861,392,False,True,27
728,Sure I miss Brooklyn but the extra space is great.,1.6530028598665396,0.0232387408967765,1049,542,329,178,False,True,50
728,I'm what they call a non-essential worker.,1.6516347237880495,0.0249025660079206,887,452,292,143,False,True,42
728,Chillax. There’s a bar and restaurant at low tide.,1.6514285714285717,0.0194362644772325,1400,699,490,211,False,True,50
728,"You’re in my dream or I’m in yours. Either way, we need limes.",1.6499032882011606,0.032376037663366,517,262,174,81,False,True,62
728,I think you're taking this contact tracing stuff a little too far.,1.6469483568075118,0.0229963727300979,1065,554,333,178,False,True,66
728,Allergic to coconut? Bummer.,1.6456896551724138,0.0212548956058455,1160,582,407,171,True,True,28
728,"Wilson, you have company!",1.645171339563863,0.0135985635168543,3210,1730,893,587,False,True,25
728,Dude....six feet.,1.6435786435786437,0.0144229435006899,2772,1469,822,481,False,True,17
728,"OK, Boss. I've brought THE NEW YORKER and a bunch of other magazines.",1.6416510318949344,0.0144043538753811,3198,1844,660,694,False,True,69
728,Lemme guess...Trump got re-elected?,1.6384937238493724,0.0158569099417743,2390,1306,642,442,True,True,35
728,Looks like you need this more than I do.,1.6323185011709602,0.0198154236301885,1281,644,464,173,False,True,40
728,Check-in isn't until 3.,1.6314016172506738,0.0187459740517168,1484,761,509,214,False,True,23
728,"Oh, great.  Now I gotta wear a mask""",1.631023102310231,0.0187541789910569,1515,786,502,227,False,False,36
728,"So, first shipwreck?",1.6298521256931608,0.0155822453919991,2164,1117,731,316,True,True,20
728,"Six feet, please.",1.6297770700636942,0.020131749697681,1256,638,445,173,False,True,17
